Year,Country,Winner,Runners-Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549.0
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363000.0
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,375700.0
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1045246.0
1954,Switzerland,Germany,Hungary,Austria,Uruguay,140,16,26,768607.0
1958,Sweden,Brazil,Sweden,France,Germany FR,126,16,35,819810.0
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,893172.0
1966,England,England,Germany FR,Portugal,Soviet Union,89,16,32,1563135.0
1970,Mexico,Brazil,Italy,Germany FR,Uruguay,95,16,32,1603975.0
1974,Germany,Germany,Netherlands,Poland,Brazil,97,16,38,1865753.0
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1545791.0
1982,Spain,Italy,Germany FR,Poland,France,146,24,52,2109723.0
1986,Mexico,Argentina,Germany FR,France,Belgium,132,24,52,2394031.0
1990,Italy,Germany,Argentina,Italy,England,115,24,52,2516215.0
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,3587538.0
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2785100.0
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,2705197.0
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3359439.0
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3178856.0
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3386810.0
